Time,Time Code,Country Name,Country Code,Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Poverty headcount ratio at societal poverty line (% of population) [SI.POV.SOPO]
2014,YR2014,Cyprus,CYP,6.93137264,2.94708562,6.42111015319824,1.54260195978916,0.512049973011017,11.8
2014,YR2014,Czechia,CZE,7.59510136,6.37729502,3.96522998809814,0.966227818064756,1.95833003520966,7.6
2014,YR2014,Denmark,DNK,10.30918217,8.70544338,7.634850025177,1.14927328634589,2.9140899181366,7.6
2014,YR2014,Djibouti,DJI,2.95930099,1.76028001,4.38407516479492,..,..,..
2014,YR2014,Dominica,DMA,5.26141691,3.21116447,4.52459239959717,..,..,..
2014,YR2014,Dominican Republic,DOM,4.79757166,2.46088839,3.62243437767029,0.651437855543241,..,25.7
2014,YR2014,Ecuador,ECU,6.76601839,4.15685654,5.21020984649658,2.73923080937619,0.438389986753464,25.7
2014,YR2014,"Egypt, Arab Rep.",EGY,4.77415323,1.41039252,4.25138568878174,1.68969483568075,0.636489987373352,..
2014,YR2014,El Salvador,SLV,8.5989418,4.68769121,3.82416009902954,1.03525487674093,0.0937699973583221,26.8
2014,YR2014,Equatorial Guinea,GNQ,1.7540164,0.47094294,..,0.766177996343115,..,..
2014,YR2014,Eritrea,ERI,3.91432285,0.51250237,..,..,..,..
2014,YR2014,Estonia,EST,6.36199951,4.74082613,4.39433002471924,1.92535738573578,1.43023002147675,13.5
2014,YR2014,Eswatini,SWZ,7.25596571,2.73972297,7.07059001922607,1.82287677397053,..,..
2014,YR2014,Ethiopia,ETH,4.03365517,0.71479559,4.79265069961548,0.768407756190907,..,..
2014,YR2014,Faroe Islands,FRO,..,..,..,..,..,..
2014,YR2014,Fiji,FJI,3.36860466,2.0661068,3.76960921287537,1.53977309916003,..,..
2014,YR2014,Finland,FIN,9.78115082,7.78149414,7.10236978530884,1.45193018748459,3.14751005172729,8
2014,YR2014,France,FRA,11.52531433,8.09614086,5.48920440673828,1.86296143947269,2.27591991424561,11.4
2014,YR2014,French Polynesia,PYF,..,..,..,..,..,..
2014,YR2014,Gabon,GAB,2.53282261,1.51668847,2.66667008399963,1.14481839629997,..,..
2014,YR2014,"Gambia, The",GMB,3.05234575,1.09228694,2.22280263900757,1.20768853626782,..,..
2014,YR2014,Georgia,GEO,7.75487041,2.14047027,2.99768662452698,2.35793959370315,0.169909998774529,29.3
2014,YR2014,Germany,DEU,11.02588272,8.49219322,4.92102003097534,1.14994199690514,2.87784004211426,11.7
2014,YR2014,Ghana,GHA,4.01644135,1.40883136,3.68234825134277,0.484989051455069,..,..
2014,YR2014,Gibraltar,GIB,..,..,..,..,..,..
2014,YR2014,Greece,GRC,7.8914113,4.48809004,4.32135677337646,2.35228766757336,0.839980006217957,20.4
2014,YR2014,Greenland,GRL,..,..,..,..,..,..
2014,YR2014,Grenada,GRD,4.77353573,2.09314442,4.47756576538086,..,..,..
2014,YR2014,Guam,GUM,..,..,..,..,..,..
2014,YR2014,Guatemala,GTM,5.8885684,2.23796296,2.98562002182007,0.424656428368739,0.0294899996370077,29.3
2014,YR2014,Guinea,GIN,4.787992,0.61152339,2.42281007766724,2.27643791059905,..,..
2014,YR2014,Guinea-Bissau,GNB,9.96897411,0.59649962,..,1.89380436110046,..,..
2014,YR2014,Guyana,GUY,3.94755435,2.17510056,4.36033010482788,0.951652170035393,..,..
2014,YR2014,Haiti,HTI,4.52035809,0.4683435,1.75226998329163,0.0355624820363801,..,..
2014,YR2014,Honduras,HND,7.91455746,3.19305706,7.0901198387146,1.19271597688079,..,35.1
2014,YR2014,"Hong Kong SAR, China",HKG,..,..,3.57255005836487,..,0.740140020847321,..
2014,YR2014,Hungary,HUN,7.04665947,4.70165157,4.60187005996704,0.857809630794751,1.3445999622345,17
2014,YR2014,Iceland,ISL,8.29044247,6.68532133,7.6414098739624,..,1.93615996837616,7.6
2014,YR2014,India,IND,3.61956549,0.85653549,3.89878034591675,2.54398176462257,0.701590001583099,..
2014,YR2014,Indonesia,IDN,2.96433568,0.99270725,3.28800988197327,0.777855178232831,..,35.7
2014,YR2014,"Iran, Islamic Rep.",IRN,6.35239553,3.19974685,2.61668992042542,2.11655706144949,..,21.9
2014,YR2014,Iraq,IRQ,2.78786659,1.03747606,..,2.9506139914123,0.0383500009775162,..
2014,YR2014,Ireland,IRL,9.49471951,6.76029348,4.86511993408203,0.459917413502212,1.51797997951508,12.2
2014,YR2014,Isle of Man,IMN,..,..,..,..,..,..
2014,YR2014,Israel,ISR,7.04530668,4.44787502,5.70471000671387,5.64719680120022,4.20530986785889,23.7
2014,YR2014,Italy,ITA,8.86791801,6.68862152,4.06127977371216,1.28296965427672,1.33840000629425,17
2014,YR2014,Jamaica,JAM,5.16564465,3.06121469,6.01586008071899,0.872784216786518,..,..
2014,YR2014,Japan,JPN,10.7290144,9.02501678,3.41529989242554,0.957800922146808,3.36788010597229,12.5
